Age,Gender,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Fat_Percentage,Water_Intake_liters,Workout_Frequency_days_per_week,Experience_Level,BMI,Daily_meals_frequency,Carbs,Proteins,Fats,Calories,sugar_g,sodium_mg,cholesterol_mg,Burns_Calories_per_30_min,Difficulty_Level,lean_mass_kg
34.91,Male,65.27,1.62,188.58,157.65,69.05,26.800377179186803,1.5,3.99,2.01,24.87,2.99,267.68,106.05,71.63,1806.0,31.77,1729.94,285.05,342.58,Advanced,47.77739381514478
23.37,Female,56.41,1.55,179.43,131.75,73.18,27.65502094955822,1.9,4.0,2.01,23.48,3.01,214.32,85.41,56.97,1577.0,12.34,693.08,300.61,357.16,Intermediate,40.8098026823542
33.2,Female,58.98,1.67,175.04,123.95,54.96,24.32082112410528,1.88,2.99,1.02,21.15,1.99,246.04,98.11,65.48,1608.0,42.81,2142.48,215.42,359.63,Intermediate,44.63557970100271
38.69,Female,93.78,1.7,191.21,155.1,50.07,32.81357178608907,2.5,3.99,1.99,32.45,3.0,203.22,80.84,54.56,2657.0,9.34,123.2,9.7,351.65,Advanced,63.00743237900567
45.09,Male,52.42,1.88,193.58,152.88,70.84,17.307318603384633,2.91,4.0,2.0,14.83,3.0,332.79,133.05,88.43,1470.0,23.78,1935.11,116.89,329.36,Advanced,43.34750358810577
53.19,Female,105.05,1.84,176.52,130.6,61.84,32.04906403773502,2.91,3.02,1.0,31.03,2.99,170.86,67.92,46.06,2767.0,15.89,2382.39,36.38,374.56,Beginner,71.38245822835935
23.17,Male,58.41,1.78,184.75,140.9,58.01,20.54629200523472,2.71,4.96,3.0,18.44,2.02,280.33,112.35,74.97,1867.0,12.48,2220.46,56.69,328.94,Advanced,46.4089108397424
55.92,Female,84.07,1.63,183.87,141.12,51.79,32.08817620708069,2.88,3.97,2.01,31.64,2.99,262.57,105.41,70.37,2191.0,2.87,1501.99,74.7,363.56,Intermediate,57.093470262707264
24.11,Female,88.58,1.79,176.78,154.07,65.19,27.36724576855457,3.49,4.01,3.02,27.65,3.0,173.08,69.44,45.91,2587.0,0.72,293.36,188.26,349.51,Beginner,64.33809369821437
39.19,Female,50.32,1.6,166.88,128.04,49.91,21.90937914793248,2.49,2.0,1.0,19.66,3.01,191.06,76.76,50.71,1247.0,50.02,757.93,291.34,326.31,Intermediate,39.29520041276037
50.51,Male,86.37,1.63,160.92,143.2,57.87,29.07152849804965,3.49,4.01,2.98,32.51,3.0,258.98,102.72,68.72,2476.0,10.0,1356.53,170.61,356.2,Intermediate,61.260920836234526
47.77,Female,83.89,1.82,176.36,148.74,69.91,23.64931819941694,3.51,5.02,3.01,25.33,3.01,231.16,93.27,61.23,2232.0,11.88,323.04,135.18,361.13,Advanced,64.05058696250913
19.0,Male,82.66,1.96,173.75,168.71,62.16,24.128786918912287,3.5,5.02,2.99,21.52,3.01,181.82,71.6,48.11,2569.0,30.3,80.98,210.51,357.96,Advanced,62.7151447328271
38.01,Female,57.67,1.56,184.91,132.43,54.04,26.59443119940612,2.71,5.0,3.0,23.7,3.98,369.71,147.77,98.38,1726.0,35.84,131.07,244.36,338.54,Advanced,42.33299152730249
27.39,Female,71.79,1.97,180.96,151.11,72.68,24.477762525783994,3.59,3.01,1.02,18.5,3.01,207.16,82.59,55.08,2046.0,16.18,674.45,127.06,356.83,Advanced,54.21741428273968
18.86,Female,95.12,1.85,189.48,142.51,49.9,28.04992817494376,2.3,4.0,1.98,27.79,2.0,298.25,118.86,79.54,2455.0,25.56,835.15,299.07,359.74,Advanced,68.4389083199935
40.36,Male,56.88,1.71,168.02,142.67,60.89,21.80926489283508,2.69,5.02,3.01,19.45,1.98,192.66,76.8,51.19,1740.0,43.14,58.47,291.5,342.47,Advanced,44.47489012895541
37.14,Male,76.48,1.77,180.29,127.8,56.76,30.300737914959768,2.09,4.0,2.0,24.41,2.99,233.62,92.99,62.41,2166.0,27.8,434.36,271.65,356.98,Beginner,53.30599564263877
18.93,Male,72.56,1.79,177.48,124.41,60.95,26.40511440359576,1.58,2.99,1.02,22.65,2.99,219.75,87.27,58.09,1802.0,5.03,1193.73,252.47,332.12,Beginner,53.40044898875092
46.0,Male,60.05,1.68,164.91,147.1,62.34,21.804029360668224,2.51,4.01,2.0,21.28,1.99,247.96,99.4,66.24,1716.0,16.21,1318.33,53.39,350.23,Intermediate,46.95668036891873
37.06,Female,73.04,1.74,188.15,140.95,65.11,25.78541781279678,2.39,3.0,2.0,24.12,3.02,300.3,120.63,80.22,2038.0,1.96,2075.74,21.79,333.67,Beginner,54.20633082953324
50.23,Female,86.72,1.63,160.86,143.17,58.08,29.12385208982389,3.51,4.0,3.0,32.64,3.0,256.65,103.91,68.88,2212.0,10.7,1357.2,172.78,356.6,Advanced,61.46379546770473
30.9,Female,76.77,1.71,189.88,137.2,51.88,29.31860660365026,1.82,3.98,1.95,26.25,2.0,222.21,89.25,58.85,2182.0,15.41,278.9,228.23,353.43,Advanced,54.26210571037769
24.03,Female,88.29,1.79,177.55,153.6,65.23,26.7693540494346,3.48,4.01,3.01,27.56,2.99,174.44,69.19,46.48,2410.0,0.81,299.22,187.88,350.66,Intermediate,64.65533730975419
50.53,Male,57.01,1.91,184.12,131.58,68.07,22.39259644326159,2.72,3.99,2.0,15.63,2.01,177.97,71.05,47.3,1510.0,7.67,1250.31,138.48,360.04,Beginner,44.24398076769656
54.03,Female,87.22,1.76,188.72,157.91,68.0,28.418499463942585,3.39,3.0,2.02,28.16,3.0,296.87,118.4,79.38,2269.0,15.56,2425.23,235.02,338.3,Advanced,62.43338476754927
25.11,Female,105.44,1.88,174.12,155.79,67.11,30.892571504733954,2.28,2.99,2.01,29.83,4.02,198.29,79.79,52.85,3016.0,43.02,2092.8,254.4,355.39,Beginner,72.86687260540852
39.05,Male,102.34,1.94,192.28,133.68,50.01,32.46285886287696,2.41,3.01,1.0,27.19,3.02,282.28,111.71,74.89,2624.0,9.88,434.89,2.84,368.66,Beginner,69.11751023973171
44.1,Female,89.6,1.99,192.1,135.01,58.1,23.09052321392091,2.02,4.0,2.0,22.63,2.99,321.28,128.81,85.61,2601.0,7.3,2434.23,249.77,339.35,Advanced,68.91089120032686
18.06,Male,58.56,1.61,174.64,150.33,70.81,24.496921662616764,2.72,3.99,3.02,22.59,2.99,231.25,92.48,61.37,1549.0,30.58,276.74,266.46,334.26,Advanced,44.214602674371626
57.07,Female,76.9,1.86,173.05,140.94,55.07,29.439410708808744,2.8,3.99,1.99,22.23,1.98,207.11,82.81,55.52,1981.0,4.58,365.77,281.74,353.89,Beginner,54.26109316492608
49.66,Male,52.57,1.84,195.03,124.28,51.7,14.84197561792194,3.1,4.0,2.0,15.53,3.0,169.5,68.42,45.57,1497.0,41.73,2315.93,148.84,346.31,Beginner,44.76757341765843
31.63,Male,126.53,1.83,197.68,146.15,61.92,35.0,2.09,2.99,1.98,37.78,3.0,304.8,122.78,81.51,3255.0,44.74,86.45,181.63,361.2,Beginner,82.2445
41.8,Male,59.72,1.74,194.24,141.17,51.86,19.446703083030147,2.7,5.01,3.0,19.73,3.01,202.57,80.05,53.22,1741.0,35.39,2121.96,204.6,364.95,Beginner,48.1064289188144
37.51,Male,76.59,1.82,191.56,121.3,49.83,22.57558193854224,2.8,3.98,2.0,23.12,3.02,188.66,76.42,50.28,1950.0,2.81,2413.37,111.51,344.07,Beginner,59.299361793270506
39.98,Male,79.99,1.76,167.75,166.6,74.26,28.830453231342894,3.5,5.01,2.97,25.82,3.01,235.62,94.49,62.77,2030.0,27.18,1259.35,186.37,348.23,Beginner,56.92852046024881
25.49,Female,127.55,1.73,167.12,159.98,62.04,35.0,2.91,3.02,1.0,42.62,2.99,296.66,117.99,78.86,3313.0,4.0,2351.97,119.73,130.05,Beginner,82.9075
58.24,Female,56.96,1.7,170.09,121.89,57.07,23.5650452462822,2.7,1.99,1.0,19.71,3.0,205.31,83.24,55.37,1390.0,8.38,1490.43,270.33,357.81,Advanced,43.53735022771766
48.18,Female,56.53,1.51,184.75,125.44,52.26,28.50765309226645,2.11,3.97,1.97,24.79,3.0,215.24,85.55,57.33,1489.0,35.32,1707.76,53.01,330.57,Intermediate,40.414623706941775
27.19,Male,88.2,1.98,161.8,152.85,52.99,21.047071801739808,3.5,4.01,3.02,22.5,2.02,296.47,118.19,79.21,2531.0,19.02,345.67,219.13,336.55,Advanced,69.63648267086549
40.14,Male,51.72,1.61,198.12,128.23,70.18,23.71315012526436,3.32,1.99,1.0,19.95,1.99,217.46,86.75,57.22,1325.0,27.11,1959.49,37.92,359.4,Intermediate,39.45555875521328
41.1,Female,77.05,1.79,171.94,132.06,56.07,25.765634036189088,2.0,4.0,2.01,24.05,2.99,291.2,115.86,77.53,2334.0,22.78,790.39,88.06,331.76,Advanced,57.19757897511631
52.36,Female,51.93,1.67,169.0,124.55,51.78,22.0592370284323,1.51,1.97,1.02,18.62,3.01,282.27,112.63,74.94,1353.0,29.84,1419.55,134.3,350.88,Intermediate,40.47463821113511
36.02,Female,109.87,1.77,191.11,156.06,73.76,33.42563807603815,3.42,1.99,1.01,35.07,3.0,306.41,122.15,82.17,2728.0,46.88,2000.77,252.88,369.34,Intermediate,73.14525144585689
33.07,Male,102.83,1.75,185.94,140.25,52.91,29.93347627236046,2.21,3.0,1.95,33.58,3.0,288.65,115.2,76.75,2657.0,3.45,459.13,251.52,363.78,Beginner,72.04940634913174
37.35,Female,88.65,1.79,182.36,137.78,67.81,29.59749049937583,3.47,5.04,3.01,27.67,3.01,428.87,171.53,113.84,2621.0,42.99,891.54,16.44,373.65,Beginner,62.411824672303325
21.24,Female,80.78,1.9,193.85,137.76,55.01,22.6918319466272,3.5,4.01,3.01,22.38,3.01,162.37,63.98,42.89,2174.0,38.15,926.5,217.13,355.67,Beginner,62.44953815351455
25.76,Female,70.53,1.5,182.39,142.14,53.94,30.919318997894145,2.6,1.97,1.0,31.35,3.0,217.65,85.89,58.01,1839.0,4.67,2179.93,116.05,368.91,Intermediate,48.72260431078526
40.09,Male,54.73,1.61,183.75,157.78,64.12,22.609754391390187,2.71,3.98,3.0,21.11,2.0,274.39,109.75,73.35,1549.0,31.52,1792.05,43.21,333.31,Beginner,42.35568142159215
32.59,Male,52.75,1.66,190.86,128.92,71.91,23.56556909365815,2.49,2.96,1.01,19.14,3.01,247.09,98.22,66.16,1446.0,2.48,107.0,201.6,350.36,Advanced,40.319162303095325
52.62,Female,84.36,1.76,164.87,137.25,69.2,26.90164503779492,3.5,5.01,2.98,27.23,1.99,251.88,100.12,66.98,2285.0,8.63,1561.45,81.35,351.92,Beginner,61.665772246116205
58.93,Female,59.66,1.76,193.79,120.64,52.98,21.52076364412733,2.7,5.0,2.99,19.26,3.03,201.78,80.95,53.99,1789.0,34.91,2130.37,126.94,337.04,Beginner,46.82071240991363
52.03,Female,59.98,1.71,169.37,151.06,58.16,21.92316157235524,2.02,2.97,1.0,20.51,2.04,178.89,72.16,48.06,1648.0,28.52,1033.56,161.98,199.88,Advanced,46.83048768890132
30.75,Female,76.83,1.62,174.06,127.01,73.99,28.97544940228808,2.29,3.97,1.99,29.28,1.99,312.47,125.01,83.31,2268.0,42.56,1154.1,83.18,345.11,Advanced,54.56816222422206
29.01,Male,58.43,1.61,197.67,121.65,72.05,27.545948725226136,2.01,2.99,2.0,22.54,1.99,220.02,87.44,58.56,1771.0,9.75,312.81,4.53,350.76,Advanced,42.33490215985037
39.14,Female,71.32,1.88,197.84,146.63,50.97,23.967493304534432,2.21,1.99,1.0,20.18,3.0,256.52,101.44,67.94,1934.0,25.86,755.83,122.14,367.32,Advanced,54.226383775206045
39.08,Male,55.58,1.71,183.69,147.75,59.11,20.39435029298726,2.7,5.0,3.01,19.01,3.0,202.77,81.81,54.86,1656.0,7.24,1222.64,185.13,340.84,Advanced,44.24482010715768
38.16,Female,44.9,1.68,193.25,143.88,57.92,20.66838612087244,2.42,2.98,2.02,15.91,3.0,282.8,113.61,75.84,1242.0,12.42,1212.06,4.43,338.1,Beginner,35.61989463172827
26.29,Female,59.21,1.51,181.25,128.96,71.25,24.98062256347282,2.71,4.97,3.02,25.97,4.01,180.13,72.39,48.72,1872.0,43.55,1533.61,81.34,355.43,Beginner,44.41897338016774
26.92,Male,87.68,1.63,182.88,135.14,73.97,29.90042295012659,3.5,4.99,3.03,33.0,4.01,410.38,163.87,109.15,2558.0,7.53,1514.17,99.7,372.07,Advanced,61.46330915732901
45.05,Male,63.63,1.54,199.17,133.28,58.05,29.042268221161752,2.71,3.99,3.01,26.83,2.98,223.1,89.45,59.04,1918.0,27.1,1515.19,280.84,368.48,Intermediate,45.150404730874776
58.04,Female,109.54,1.91,197.5,156.16,55.87,30.72971438912612,2.22,3.02,2.0,30.03,3.01,306.96,122.84,81.67,2956.0,15.4,109.15,31.29,357.61,Advanced,75.87867085815125
56.29,Female,125.88,1.86,196.94,129.1,63.86,35.0,2.2,3.04,2.01,36.39,2.99,298.21,120.07,79.45,3424.0,39.98,1286.81,251.92,366.43,Advanced,81.822
50.13,Female,70.32,1.68,186.97,161.25,70.19,29.252529769449342,2.51,1.98,1.0,24.91,3.0,298.86,119.65,80.16,1861.0,20.54,927.21,7.93,259.05,Intermediate,49.74962106612322
56.77,Male,85.56,1.69,189.23,132.57,50.08,28.59816726529328,3.49,5.0,3.01,29.96,3.01,200.87,80.59,53.75,2366.0,11.46,322.63,277.93,346.69,Advanced,61.09140808781508
33.93,Female,64.38,1.78,169.13,144.15,63.97,22.68075382819338,1.79,4.02,2.02,20.32,2.98,211.62,84.99,57.28,1731.0,12.74,1487.92,167.3,364.26,Beginner,49.7781306854091
18.77,Male,60.51,1.59,183.97,127.79,53.03,27.30236727987143,2.21,2.04,1.01,23.93,1.99,201.97,81.36,54.63,1615.0,37.38,1822.76,267.53,249.64,Advanced,43.98933755894979
28.33,Female,69.13,1.58,181.99,134.58,49.9,28.50902646757633,2.0,2.98,2.01,27.69,3.0,254.78,101.9,68.03,1995.0,2.95,1377.13,153.72,335.25,Beginner,49.42171000296448
31.96,Male,97.49,1.96,188.46,137.25,49.93,26.502290685568045,3.4,3.01,1.99,25.38,3.0,276.79,109.74,73.73,2502.0,12.48,158.78,216.12,371.13,Beginner,71.65291681063971
38.76,Male,85.97,1.82,191.07,160.06,72.1,28.148384968178654,3.5,5.03,3.02,25.95,3.0,250.06,99.54,66.37,2466.0,31.49,967.13,195.57,340.61,Intermediate,61.77083344285681
36.52,Male,56.0,1.57,182.37,123.02,52.99,28.373558365381864,2.42,2.02,1.01,22.72,2.01,208.63,83.47,54.99,1433.0,20.37,2001.7,222.22,340.72,Advanced,40.11080731538616
52.85,Male,47.69,1.76,163.96,149.27,74.17,19.119865654275376,1.5,3.99,2.0,15.4,4.01,295.15,118.76,79.09,1410.0,30.5,1682.65,149.42,344.91,Beginner,38.57173606947608
