,Age,Gender,Weight_kg,Height_m,Fat_Percentage,Water_Intake_liters,Workout_Frequency_days_per_week,Experience_Level,BMI,Burns_Calories_per_30_min,Difficulty_Level,Workout,lean_mass_kg
0,34.91,Male,65.27,1.62,26.800377179186803,1.5,3.99,2.01,24.87,342.58,Advanced,Dumbbell flyes,47.77739381514478
1,23.37,Female,56.41,1.55,27.65502094955822,1.9,4.0,2.01,23.48,357.16,Intermediate,Lateral raises,40.8098026823542
2,33.2,Female,58.98,1.67,24.32082112410528,1.88,2.99,1.02,21.15,359.63,Intermediate,Standing calf raises,44.63557970100271
3,38.69,Female,93.78,1.7,32.81357178608907,2.5,3.99,1.99,32.45,351.65,Advanced,Incline dumbbell flyes,63.00743237900567
4,45.09,Male,52.42,1.88,17.307318603384633,2.91,4.0,2.0,14.83,329.36,Advanced,Military press,43.34750358810577
5,53.19,Female,105.05,1.84,32.04906403773502,2.91,3.02,1.0,31.03,374.56,Beginner,Skull crushers,71.38245822835935
6,23.17,Male,58.41,1.78,20.54629200523472,2.71,4.96,3.0,18.44,328.94,Advanced,Barbell rows,46.4089108397424
7,55.92,Female,84.07,1.63,32.08817620708069,2.88,3.97,2.01,31.64,363.56,Intermediate,Hammer curl,57.093470262707264
8,24.11,Female,88.58,1.79,27.36724576855457,3.49,4.01,3.02,27.65,349.51,Beginner,Russian twists,64.33809369821437
9,39.19,Female,50.32,1.6,21.90937914793248,2.49,2.0,1.0,19.66,326.31,Intermediate,Towel pull-up,39.29520041276037
10,50.51,Male,86.37,1.63,29.07152849804965,3.49,4.01,2.98,32.51,356.2,Intermediate,Bicep Curls,61.260920836234526
11,47.77,Female,83.89,1.82,23.64931819941694,3.51,5.02,3.01,25.33,361.13,Advanced,Face pulls,64.05058696250913
12,19.0,Male,82.66,1.96,24.128786918912287,3.5,5.02,2.99,21.52,357.96,Advanced,Seated calf raises,62.7151447328271
13,38.01,Female,57.67,1.56,26.59443119940612,2.71,5.0,3.0,23.7,338.54,Advanced,Fat grip dumbbell curl,42.33299152730249
14,27.39,Female,71.79,1.97,24.477762525783994,3.59,3.01,1.02,18.5,356.83,Advanced,Hammer curls,54.21741428273968
15,18.86,Female,95.12,1.85,28.04992817494376,2.3,4.0,1.98,27.79,359.74,Advanced,Plate pinch,68.4389083199935
16,40.36,Male,56.88,1.71,21.80926489283508,2.69,5.02,3.01,19.45,342.47,Advanced,Donkey kicks,44.47489012895541
17,37.14,Male,76.48,1.77,30.300737914959768,2.09,4.0,2.0,24.41,356.98,Beginner,Decline dumbbell press,53.30599564263877
18,18.93,Male,72.56,1.79,26.40511440359576,1.58,2.99,1.02,22.65,332.12,Beginner,Barbell curls,53.40044898875092
19,46.0,Male,60.05,1.68,21.804029360668224,2.51,4.01,2.0,21.28,350.23,Intermediate,Military press,46.95668036891873
20,37.06,Female,73.04,1.74,25.78541781279678,2.39,3.0,2.0,24.12,333.67,Beginner,Dumbbell front raises,54.20633082953324
21,50.23,Female,86.72,1.63,29.12385208982389,3.51,4.0,3.0,32.64,356.6,Advanced,Russian twists,61.46379546770473
22,30.9,Female,76.77,1.71,29.31860660365026,1.82,3.98,1.95,26.25,353.43,Advanced,Hyperextensions,54.26210571037769
23,24.03,Female,88.29,1.79,26.7693540494346,3.48,4.01,3.01,27.56,350.66,Intermediate,Leg raises,64.65533730975419
24,50.53,Male,57.01,1.91,22.39259644326159,2.72,3.99,2.0,15.63,360.04,Beginner,Barbell rows,44.24398076769656
25,54.03,Female,87.22,1.76,28.418499463942585,3.39,3.0,2.02,28.16,338.3,Advanced,Skull crushers,62.43338476754927
26,25.11,Female,105.44,1.88,30.892571504733954,2.28,2.99,2.01,29.83,355.39,Beginner,Plate pinch,72.86687260540852
27,39.05,Male,102.34,1.94,32.46285886287696,2.41,3.01,1.0,27.19,368.66,Beginner,Bicycle crunches,69.11751023973171
28,44.1,Female,89.6,1.99,23.09052321392091,2.02,4.0,2.0,22.63,339.35,Advanced,Close-grip bench press,68.91089120032686
29,18.06,Male,58.56,1.61,24.496921662616764,2.72,3.99,3.02,22.59,334.26,Advanced,Decline cable crossovers,44.214602674371626
30,57.07,Female,76.9,1.86,29.439410708808744,2.8,3.99,1.99,22.23,353.89,Beginner,Russian twists,54.26109316492608
31,49.66,Male,52.57,1.84,14.84197561792194,3.1,4.0,2.0,15.53,346.31,Beginner,Hanging leg raises,44.76757341765843
32,31.63,Male,126.53,1.83,35.0,2.09,2.99,1.98,37.78,361.2,Beginner,Bird dog,82.2445
33,41.8,Male,59.72,1.74,19.446703083030147,2.7,5.01,3.0,19.73,364.95,Beginner,Dumbbell flyes,48.1064289188144
34,37.51,Male,76.59,1.82,22.57558193854224,2.8,3.98,2.0,23.12,344.07,Beginner,Plate pinch,59.299361793270506
35,39.98,Male,79.99,1.76,28.830453231342894,3.5,5.01,2.97,25.82,348.23,Beginner,Leg raises,56.92852046024881
36,25.49,Female,127.55,1.73,35.0,2.91,3.02,1.0,42.62,130.05,Beginner,Bird dog,82.9075
37,58.24,Female,56.96,1.7,23.5650452462822,2.7,1.99,1.0,19.71,357.81,Advanced,Standing calf raises,43.53735022771766
38,48.18,Female,56.53,1.51,28.50765309226645,2.11,3.97,1.97,24.79,330.57,Intermediate,Dumbbell rows,40.414623706941775
39,27.19,Male,88.2,1.98,21.047071801739808,3.5,4.01,3.02,22.5,336.55,Advanced,Incline dumbbell press,69.63648267086549
40,40.14,Male,51.72,1.61,23.71315012526436,3.32,1.99,1.0,19.95,359.4,Intermediate,Hammer curl,39.45555875521328
41,41.1,Female,77.05,1.79,25.765634036189088,2.0,4.0,2.01,24.05,331.76,Advanced,Bent-over lateral raises,57.19757897511631
42,52.36,Female,51.93,1.67,22.0592370284323,1.51,1.97,1.02,18.62,350.88,Intermediate,Leg extensions,40.47463821113511
43,36.02,Female,109.87,1.77,33.42563807603815,3.42,1.99,1.01,35.07,369.34,Intermediate,Face pulls,73.14525144585689
44,33.07,Male,102.83,1.75,29.93347627236046,2.21,3.0,1.95,33.58,363.78,Beginner,Dumbbell rows,72.04940634913174
45,37.35,Female,88.65,1.79,29.59749049937583,3.47,5.04,3.01,27.67,373.65,Beginner,Pull-ups,62.411824672303325
46,21.24,Female,80.78,1.9,22.6918319466272,3.5,4.01,3.01,22.38,355.67,Beginner,Military press,62.44953815351455
47,25.76,Female,70.53,1.5,30.919318997894145,2.6,1.97,1.0,31.35,368.91,Intermediate,Pull-ups,48.72260431078526
48,40.09,Male,54.73,1.61,22.609754391390187,2.71,3.98,3.0,21.11,333.31,Beginner,Dumbbell rows,42.35568142159215
49,32.59,Male,52.75,1.66,23.56556909365815,2.49,2.96,1.01,19.14,350.36,Advanced,Dumbbell rows,40.319162303095325
50,52.62,Female,84.36,1.76,26.90164503779492,3.5,5.01,2.98,27.23,351.92,Beginner,Crunches,61.665772246116205
51,58.93,Female,59.66,1.76,21.52076364412733,2.7,5.0,2.99,19.26,337.04,Beginner,Chest flyes,46.82071240991363
52,52.03,Female,59.98,1.71,21.92316157235524,2.02,2.97,1.0,20.51,199.88,Advanced,Decline dumbbell flyes,46.83048768890132
53,30.75,Female,76.83,1.62,28.97544940228808,2.29,3.97,1.99,29.28,345.11,Advanced,Barbell curls,54.56816222422206
54,29.01,Male,58.43,1.61,27.545948725226136,2.01,2.99,2.0,22.54,350.76,Advanced,Dumbbell curls,42.33490215985037
55,39.14,Female,71.32,1.88,23.967493304534432,2.21,1.99,1.0,20.18,367.32,Advanced,Pull-ups,54.226383775206045
56,39.08,Male,55.58,1.71,20.39435029298726,2.7,5.0,3.01,19.01,340.84,Advanced,Plate pinch,44.24482010715768
