"team","full_MCC","win_p"
"BUF",0.368425107021092,0.75
"LA",0.372141372141372,0.375
"ATL",0.553168778668139,0.444444444444444
"NO",0.62281210259063,0.333333333333333
"CAR",0.380901033631102,0.222222222222222
"CLE",0.659986813131234,0.375
"CHI",0.363933917001868,0.333333333333333
"SF",0.553671483056345,0.5
"PIT",0.416762890429617,0.25
"CIN",0.627674320152885,0.555555555555556
"DET",0.546025945119959,0.25
"PHI",0.311546537993481,1
"IND",0.466541433783183,0.333333333333333
"HOU",0.405784740817942,0.125
"NE",0.440485691357937,0.555555555555556
"MIA",0.474754740028772,0.666666666666667
"NYJ",0.376883391953429,0.666666666666667
"BAL",0.501271584484159,0.666666666666667
"NYG",0.453559805455869,0.75
"JAX",0.527809650475095,0.333333333333333
"WAS",0.380307372078947,0.444444444444444
"KC",0.349956619636678,0.75
"ARI",0.537881785581378,0.333333333333333
"LAC",0.573752271802187,0.625
"LV",0.656655616081528,0.25
"MIN",0.566404985510412,0.875
"GB",0.34592645998558,0.333333333333333
"DAL",0.366337362223487,0.75
"TB",0.643240034300219,0.444444444444444
"SEA",0.437899074607934,0.666666666666667
"DEN",0.359471350952245,0.375
"TEN",0.485014951916276,0.625
